date, GNI in  Billions of US $,  GNI Per Capita,  GNI Growth Rate
31-12-1960,0,0,0
31-12-1961,0,0,3.6244
31-12-1962,41.17387225,90,2.9034
31-12-1963,45.72917988,100,6.0432
31-12-1964,52.53680165,110,7.4071
31-12-1965,55.857844,110,-2.6914
31-12-1966,53.9340099,110,-0.1982
31-12-1967,55.00448496,110,7.8915
31-12-1968,53.91036653,100,3.412
31-12-1969,59.16758531,110,6.5611
31-12-1970,63.8794867,110,5.1822
31-12-1971,67.62961514,120,1.6683
31-12-1972,71.80764795,120,-0.5235
31-12-1973,85.73925955,140,3.3374
31-12-1974,102.2302906,170,1.3287
31-12-1975,118.2827178,190,9.2164
31-12-1976,115.0911269,180,1.6907
31-12-1977,121.0374705,190,7.2859
31-12-1978,138.1522034,210,5.7966
31-12-1979,152.4451386,220,-5.0007
31-12-1980,188.5830057,270,6.8583
31-12-1981,210.9913971,300,5.7816
31-12-1982,210.3691147,290,3.1406
31-12-1983,212.4497947,280,7.1837
31-12-1984,215.868667,280,3.685
31-12-1985,229.2918646,290,5.3246
31-12-1986,250.4055721,310,4.7202
31-12-1987,287.5826696,350,3.7937
31-12-1988,329.1506819,390,9.3023
31-12-1989,332.7742753,390,5.8207
31-12-1990,334.5917285,380,5.3507
31-12-1991,308.5807799,350,0.8649
31-12-1992,312.5096952,340,5.4977
31-12-1993,300.6327834,320,4.8423
31-12-1994,322.7461339,340,6.7921
31-12-1995,354.31651,370,7.7676
31-12-1996,395.2711741,400,7.6943
31-12-1997,409.8994694,410,4.1411
31-12-1998,420.1531195,410,6.193
31-12-1999,454.3968415,440,8.9644
31-12-2000,467.0820967,440,3.5368
31-12-2001,485.44259,450,5.0541
31-12-2002,500.1979784,460,3.9857
31-12-2003,573.8931436,510,7.7777
31-12-2004,687.2821615,600,7.9433
31-12-2005,809.0850909,700,7.899
31-12-2006,916.9837543,780,7.9968
31-12-2007,1081.966968,910,8.0377
31-12-2008,1195.030994,990,2.9048
31-12-2009,1358.352097,1110,7.8552
31-12-2010,1505.735813,1210,7.9653
31-12-2011,1704.432605,1360,5.4521
31-12-2012,1870.994908,1470,5.1374
31-12-2013,1941.116736,1500,6.3128
31-12-2014,2020.998391,1550,7.4949
31-12-2015,2097.598212,1590,8.019
31-12-2016,2246.783907,1680,8.2712
31-12-2017,2439.593981,1800,6.856
31-12-2018,2713.329694,1980,6.4675
31-12-2019,2878.536459,2080,3.997
31-12-2020,2659.600291,1900,-6.1977
31-12-2021,3019.856791,2150,8.2954
31-12-2022,3385.774166,2390,7.2021
